,Genus_species,taxa,Relative abundance
0,Glomus Afrothismia foertheriana symbiont,taxa_23202,6.717756723249004
1,Glomus sp. 1,taxa_23370,9.51096785926496
2,Glomus sp. 2,taxa_23386,9.784701215092896
3,Diversispora spurca,taxa_23322,2.6536985939600894
4,Scutellospora projecturata,taxa_23319,1.471097286402907
5,Glomus Arachnitis uniflora symbiont,taxa_23212,4.101244540510618
6,Glomus proliferum,taxa_23191,5.352016375726178
7,Scutellospora pellucida,taxa_23312,1.4686034650617135
8,Acaulospora sp.,taxa_23296,2.717670337789085
9,Redeckera fulvum,taxa_23321,0.6330409093206272
10,Glomus sp. 3,taxa_23168,4.464147852546759
11,Acaulospora sp.,taxa_23371,2.286018617058785
12,Archaeospora trappei,taxa_23307,2.994834244477495
13,Paraglomus brasilianum,taxa_23303,1.4561575107299565
14,Paraglomus laccatum,taxa_23333,1.5242632605723028
15,Glomus mosseae,taxa_23163,3.980244992499362
16,Glomus coronatum,taxa_23324,3.6819105754073784
17,Diversispora trimurales,taxa_23388,1.0165479438093648
18,Glomus Burmannia hexaptera symbiont,taxa_23256,1.6926714525627224
19,Glomus clarum,taxa_23323,0.6622110456782749
20,Geosiphon pyriformis,taxa_23304,0.4007494539807784
21,Glomus Voyriella parviflora symbiont type 1,taxa_23254,1.412406394058237
22,Claroideoglomus lamellosum,taxa_23267,0.3058210437045927
23,Scutellospora nodosa,taxa_23320,0.1799222092119084
24,Glomus caledonium,taxa_23161,0.1405249989280772
25,Ambispora fennica,taxa_23334,0.05176981619182238
26,Ambispora leptoticha,taxa_23305,0.13881610254522322
27,Diversispora epigaea,taxa_23157,0.32214007042920484
28,Glomus sp. 4,taxa_23282,0.05468727897151724
29,Entrophospora baltica,taxa_23387,0.02502553609978704
30,Glomus manihotis,taxa_23184,0.33967485955353743
31,Pacispora scintillans,taxa_23335,28.420742956340604
32,Scutellospora spinosissima,taxa_23314,0.037914478264232145
